from,to,type,confidence,reason,step
"Folder:tests","File:tests/TestCase.php","CONTAINS",1,"",0
"Folder:tests","File:tests/CreatesApplication.php","CONTAINS",1,"",0
"Folder:routes","File:routes/web.php","CONTAINS",1,"",0
"Folder:routes","File:routes/console.php","CONTAINS",1,"",0
"Folder:routes","File:routes/channels.php","CONTAINS",1,"",0
"Folder:routes","File:routes/auth.php","CONTAINS",1,"",0
"Folder:routes","File:routes/api.php","CONTAINS",1,"",0
"Folder:public","File:public/robots.txt","CONTAINS",1,"",0
"Folder:public","File:public/index.php","CONTAINS",1,"",0
"Folder:config","File:config/websockets.php","CONTAINS",1,"",0
"Folder:config","File:config/view.php","CONTAINS",1,"",0
"Folder:config","File:config/session.php","CONTAINS",1,"",0
"Folder:config","File:config/services.php","CONTAINS",1,"",0
"Folder:config","File:config/sanctum.php","CONTAINS",1,"",0
"Folder:config","File:config/queue.php","CONTAINS",1,"",0
"Folder:config","File:config/mail.php","CONTAINS",1,"",0
"Folder:config","File:config/logging.php","CONTAINS",1,"",0
"Folder:config","File:config/hashing.php","CONTAINS",1,"",0
"Folder:config","File:config/filesystems.php","CONTAINS",1,"",0
"Folder:config","File:config/database.php","CONTAINS",1,"",0
"Folder:config","File:config/cors.php","CONTAINS",1,"",0
"Folder:config","File:config/cache.php","CONTAINS",1,"",0
"Folder:config","File:config/broadcasting.php","CONTAINS",1,"",0
"Folder:config","File:config/auth.php","CONTAINS",1,"",0
"Folder:config","File:config/app.php","CONTAINS",1,"",0
"Folder:bootstrap","File:bootstrap/app.php","CONTAINS",1,"",0
"Folder:tests","Folder:tests/Unit","CONTAINS",1,"",0
"Folder:tests/Unit","File:tests/Unit/ExampleTest.php","CONTAINS",1,"",0
"Folder:tests","Folder:tests/Feature","CONTAINS",1,"",0
"Folder:tests/Feature","File:tests/Feature/ProfileTest.php","CONTAINS",1,"",0
"Folder:tests/Feature","File:tests/Feature/ExampleTest.php","CONTAINS",1,"",0
"Folder:resources","Folder:resources/views","CONTAINS",1,"",0
"Folder:resources/views","File:resources/views/welcome.blade.php","CONTAINS",1,"",0
"Folder:resources/views","File:resources/views/dashboard.blade.php","CONTAINS",1,"",0
"Folder:resources","Folder:resources/js","CONTAINS",1,"",0
"Folder:resources/js","File:resources/js/bootstrap.js","CONTAINS",1,"",0
"Folder:resources/js","File:resources/js/app.js","CONTAINS",1,"",0
"Folder:resources","Folder:resources/css","CONTAINS",1,"",0
"Folder:resources/css","File:resources/css/app.css","CONTAINS",1,"",0
"Folder:lang","Folder:lang/en","CONTAINS",1,"",0
"Folder:lang/en","File:lang/en/validation.php","CONTAINS",1,"",0
"Folder:lang/en","File:lang/en/passwords.php","CONTAINS",1,"",0
"Folder:lang/en","File:lang/en/pagination.php","CONTAINS",1,"",0
"Folder:lang/en","File:lang/en/auth.php","CONTAINS",1,"",0
"Folder:database","Folder:database/seeders","CONTAINS",1,"",0
"Folder:database/seeders","File:database/seeders/EditalSeeder.php","CONTAINS",1,"",0
"Folder:database/seeders","File:database/seeders/DatabaseSeeder.php","CONTAINS",1,"",0
"Folder:database","Folder:database/migrations","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2026_03_17_193045_add_payload_and_scan_time_to_editais_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2026_03_17_012400_add_objetivos_requisitos_to_editais.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2026_03_16_174000_update_documentos_gerados_nullable_secao.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2026_03_16_170000_add_extra_fields_to_empresas_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2026_03_16_141116_increase_editais_fields_size.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2026_03_16_123850_create_projeto_respostas_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2026_03_16_123619_create_documentos_gerados_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2026_03_16_123604_create_projetos_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2026_03_16_123548_create_empresas_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2026_03_16_123532_create_edital_perguntas_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2026_03_16_123518_create_edital_secoes_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2026_03_16_123458_create_editais_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2019_12_14_000001_create_personal_access_tokens_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2019_08_19_000000_create_failed_jobs_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2014_10_12_100000_create_password_resets_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/2014_10_12_000000_create_users_table.php","CONTAINS",1,"",0
"Folder:database/migrations","File:database/migrations/0000_00_00_000000_create_websockets_statistics_entries_table.php","CONTAINS",1,"",0
"Folder:database","Folder:database/factories","CONTAINS",1,"",0
"Folder:database/factories","File:database/factories/UserFactory.php","CONTAINS",1,"",0
"Folder:app","Folder:app/Services","CONTAINS",1,"",0
"Folder:app/Services","File:app/Services/GeminiService.php","CONTAINS",1,"",0
"Folder:app","Folder:app/Scrapers","CONTAINS",1,"",0
"Folder:app/Scrapers","File:app/Scrapers/GoogleNewsRssScraper.php","CONTAINS",1,"",0
"Folder:app/Scrapers","File:app/Scrapers/FinepScraper.php","CONTAINS",1,"",0
"Folder:app","Folder:app/Providers","CONTAINS",1,"",0
"Folder:app/Providers","File:app/Providers/RouteServiceProvider.php","CONTAINS",1,"",0
"Folder:app/Providers","File:app/Providers/EventServiceProvider.php","CONTAINS",1,"",0
